pl_name,hostname,pl_radj,pl_bmassj,sy_dist,st_spectype,st_age,st_mass,pl_orbper
GJ 338 B b,GJ 338 B,0.29,0.03335133,6.33256,M0 V,4,0.64,24.422
GJ 1214 b,GJ 1214,0.24382235,0.02646082,14.6427,M4 V,3,0.182,1.580404531
47 UMa b,47 UMa,1.18,2.53,13.7967,G0V,6.48,1.06,1078
47 UMa c,47 UMa,1.27,0.54,13.7967,G0V,6.48,1.06,2391
HD 40307 b,HD 40307,0.163,0.0126,12.9363,K2.5 V,4.5,0.77,4.3123
HD 40307 f,HD 40307,0.19,0.0164,12.9363,K2.5 V,4.5,0.77,51.76
GJ 674 b,GJ 674,0.297,0.035,4.54896,M2.5,0.55,0.35,4.6938
HD 69830 d,HD 69830,0.397,0.057,12.5591,K0V,7,0.86,197
GJ 887 c,GJ 887,0.238,0.02391215,3.29,M1 V,2.88,0.489,21.789
HD 62509 b,HD 62509,1.19,2.3,10.34,K0IIIvar,0.98,2,589.64
GJ 1132 c,GJ 1132,0.128,0.00830633,12.613,M4.5 V,5,0.181,8.929
L 98-59 c,L 98-59,0.11856564,0.0062927,10.6194,M3 V,4.94,0.2923,3.6906764
GJ 876 d,GJ 876,0.224,0.021,4.67517,M2.5V,1,0.32,1.93778
GJ 876 e,GJ 876,0.35,0.046,4.67517,M2.5V,1,0.32,124.26
Ross 458 c,Ross 458,1.25,6,11.5094,M2,0.5,0.556419,
ups And d,ups And,1.11,10.25,13.4054,F8 V,5,1.3,1276.46
GJ 341 b,GJ 341,0.07850848,0.01258541,10.454,M1,,0.48,7.57686
GJ 414 A c,GJ 414 A,0.74939781,0.16936727,11.8893,K7 V,12.4,0.65,749.83
GJ 163 d,GJ 163,0.528,0.09250228,15.1285,M,6,0.4,603.95116
HD 22496 b,HD 22496,0.198,0.01752518,13.5956,K5/M0V,,0.684,5.09071
TRAPPIST-1 b,TRAPPIST-1,0.09956302,0.00432309,12.42988881,,0.5,0.0898,1.510826
TRAPPIST-1 c,TRAPPIST-1,0.09786795,0.00411543,12.42988881,,0.5,0.0898,2.421937
TRAPPIST-1 d,TRAPPIST-1,0.07030077,0.00122078,12.42988881,,0.5,0.0898,4.049219
TRAPPIST-1 e,TRAPPIST-1,0.08207704,0.00217728,12.42988881,,0.5,0.0898,6.101013
TRAPPIST-1 f,TRAPPIST-1,0.09322882,0.00326906,12.42988881,,0.5,0.0898,9.20754
TRAPPIST-1 g,TRAPPIST-1,0.10072281,0.00415633,12.42988881,,0.5,0.0898,12.352446
TRAPPIST-1 h,TRAPPIST-1,0.0673567,0.00102571,12.42988881,,0.5,0.0898,18.772866
HD 20794 f,HD 20794,0.203,0.01831177,6.00278,G6 V,5.76,0.79,647.6
GJ 1151 c,GJ 1151,0.29,0.03341426,8.03625,M 4.5V,,0.1639,389.7
GJ 229 b,GJ 229,0.354,0.047,5.75624,M1.5V,0.4,0.509,579.47495
55 Cnc c,55 Cnc,0.76,0.1714,12.5855,G8V,5.5,0.905,44.3989
AU Mic b,AU Mic,0.353,0.0633046,9.7221,M1,0.0201,0.51,8.46308
AU Mic c,AU Mic,0.225,0.03020498,9.7221,M1,0.0201,0.51,18.85969
AU Mic d,AU Mic,0.0912,0.00331,9.7221,M1,0.0201,0.51,12.73596
GJ 251 b,GJ 251,0.163,0.01258534,5.58057,M3.0 V,,0.36,14.238
Barnard b,Barnard's star,0.0642,0.00094076,1.82655,M3.5-4 V,,0.162,3.1542
GJ 896 A b,GJ 896 A,1.19,2.26,6.26022,M3.5 V,,0.43599,284.39
HD 192310 b,HD 192310,0.381,0.0532,8.79687,K3V,7.81,0.8,74.72
tau Cet h,tau Cet,0.106,0.0057578,3.60304,G8.5V,12.12,0.783,49.41
Barnard e,Barnard's star,0.0568,0.00060725,1.82655,M3.5-4 V,,0.162,6.7392
GJ 687 c,GJ 687,0.369,0.05034138,4.54939,M3.0V,,0.4,727.562
GJ 1002 b,GJ 1002,0.0919,0.00339806,4.84867,M5.5 V,,0.12,10.3465
GJ 480 b,GJ 480,0.33,0.04153164,14.2358,M3.5 Ve,,0.45,9.567
GJ 357 b,GJ 357,0.10705701,0.00578926,9.44181,M2.5 V,,0.342,3.9306
GJ 436 b,GJ 436,0.372,0.07,9.75321,M2.5 V,6,0.47,2.64388312
GJ 536 b,GJ 536,0.215,0.02004226,10.4092,M1 V,4.2,0.528,8.70874
GJ 536 c,GJ 536,0.205,0.01853201,10.4092,M1 V,4.2,0.528,32.761
