pl_name,hostname,esi_score,pl_eqt,eq_temp_k,pl_dens,density_si,pl_rade
Teegarden's Star b,Teegarden's Star,0.99,277.0,288.05,5.51,5520.13,1.05
G 261-6 b,G 261-6,0.97,322.3,291.12,5.66,5663.64,1.1
Ross 128 b,Ross 128,0.96,301.0,280.37,5.63,5682.83,1.11
TRAPPIST-1 c,TRAPPIST-1,0.93,339.7,310.86,5.46,5462.56,1.1
GJ 1061 c,GJ 1061,0.93,,274.98,5.82,5884.22,1.18
YZ Cet d,YZ Cet,0.91,356.7,326.14,5.48,5462.07,1.03
GJ 1132 c,GJ 1132,0.9,300.0,303.3,4.96,4928.13,1.43
GJ 3323 b,GJ 3323,0.9,,265.31,5.96,6106.32,1.22
Proxima Cen d,Proxima Cen,0.88,282.0,282.97,4.31,4312.38,0.69
GJ 625 b,GJ 625,0.88,,306.96,4.68,4692.48,1.49
GJ 273 b,GJ 273,0.87,,267.52,4.61,4598.37,1.51
L 98-59 f,L 98-59,0.86,285.0,260.85,5.0,4765.92,1.48
tau Cet e,tau Cet,0.86,,290.9,3.64,3686.57,1.8
L 98-59 e,L 98-59,0.86,347.0,317.07,5.2,4692.5,1.49
TRAPPIST-1 d,TRAPPIST-1,0.86,286.2,261.84,4.37,4371.8,0.79
Wolf 1061 c,Wolf 1061,0.86,,273.77,4.1,4117.91,1.66
GJ 1002 b,GJ 1002,0.85,230.9,230.93,5.43,5447.37,1.03
GJ 1061 b,GJ 1061,0.84,,354.99,5.66,5663.62,1.1
Wolf 1069 b,Wolf 1069,0.83,250.1,228.79,5.5,5592.74,1.07
Barnard e,Barnard's star,0.83,340.0,310.53,4.1,4123.11,0.64
TRAPPIST-1 b,TRAPPIST-1,0.83,397.6,363.74,5.44,5450.08,1.12
Ross 508 b,Ross 508,0.82,,268.79,3.59,3615.82,1.83
YZ Cet c,YZ Cet,0.82,410.3,375.04,5.41,5495.03,1.05
TRAPPIST-1 e,TRAPPIST-1,0.81,249.7,228.47,4.9,4899.5,0.92
GJ 3988 b,GJ 3988,0.81,348.0,318.66,3.85,3805.07,1.75
Gl 725 A b,Gl 725 A,0.81,,344.02,4.71,4731.87,1.48
Proxima Cen b,Proxima Cen,0.81,218.0,218.14,5.46,5426.88,1.02
Teegarden's Star c,Teegarden's Star,0.81,209.0,217.32,5.44,5418.95,1.02
GJ 411 b,GJ 411,0.8,349.83,354.74,4.85,4905.61,1.45
GJ 251 b,GJ 251,0.8,351.0,321.09,3.59,3615.8,1.83
